DATE,M2
1991-07-29,3355.4
1991-08-05,3354.5
1991-08-12,3354.6
1991-08-19,3353.4
1991-08-26,3358.5
1991-09-02,3353.5
1991-09-09,3356.5
1991-09-16,3355.4
1991-09-23,3354.5
1991-09-30,3353.8
1991-10-07,3356.8
1991-10-14,3358.1
1991-10-21,3362.4
1991-10-28,3363.2
1991-11-04,3360.3
1991-11-11,3365.2
1991-11-18,3365.0
1991-11-25,3366.5
1991-12-02,3369.4
1991-12-09,3372.4
1991-12-16,3379.5
1991-12-23,3371.1
1991-12-30,3367.7
1992-01-06,3365.7
1992-01-13,3374.9
1992-01-20,3381.7
1992-01-27,3393.5
1992-02-03,3392.9
1992-02-10,3398.9
1992-02-17,3400.8
1992-02-24,3402.5
1992-03-02,3401.1
1992-03-09,3404.6
1992-03-16,3407.2
1992-03-23,3404.0
1992-03-30,3401.1
1992-04-06,3400.2
1992-04-13,3401.6
1992-04-20,3397.8
1992-04-27,3399.4
1992-05-04,3399.3
1992-05-11,3401.0
1992-05-18,3398.3
1992-05-25,3397.0
1992-06-01,3397.5
1992-06-08,3393.7
1992-06-15,3396.5
1992-06-22,3394.3
1992-06-29,3389.1
1992-07-06,3390.9
1992-07-13,3393.6
1992-07-20,3395.0
1992-07-27,3396.5
1992-08-03,3392.2
1992-08-10,3396.8
1992-08-17,3397.1
1992-08-24,3398.7
1992-08-31,3405.3
1992-09-07,3403.1
1992-09-14,3408.7
1992-09-21,3412.4
1992-09-28,3416.3
1992-10-05,3413.6
1992-10-12,3423.0
1992-10-19,3421.5
1992-10-26,3429.2
1992-11-02,3430.9
1992-11-09,3430.5
1992-11-16,3428.3
1992-11-23,3421.5
1992-11-30,3424.3
1992-12-07,3427.7
1992-12-14,3428.4
1992-12-21,3421.6
1992-12-28,3423.1
1993-01-04,3418.7
1993-01-11,3422.2
1993-01-18,3416.8
1993-01-25,3415.5
1993-02-01,3414.9
1993-02-08,3410.1
1993-02-15,3414.6
1993-02-22,3415.7
1993-03-01,3414.7
1993-03-08,3411.5
1993-03-15,3411.1
1993-03-22,3409.6
1993-03-29,3409.7
1993-04-05,3409.1
1993-04-12,3410.1
1993-04-19,3405.1
1993-04-26,3411.1
1993-05-03,3425.5
1993-05-10,3437.4
1993-05-17,3437.2
1993-05-24,3434.3
1993-05-31,3445.5
1993-06-07,3444.6
1993-06-14,3446.2
1993-06-21,3442.2
1993-06-28,3438.2
1993-07-05,3436.1
1993-07-12,3443.7
1993-07-19,3443.2
1993-07-26,3442.3
1993-08-02,3443.6
1993-08-09,3446.8
1993-08-16,3447.5
1993-08-23,3443.9
1993-08-30,3444.7
1993-09-06,3447.6
1993-09-13,3453.1
1993-09-20,3453.7
1993-09-27,3453.4
1993-10-04,3453.3
1993-10-11,3457.8
1993-10-18,3453.6
1993-10-25,3453.7
1993-11-01,3464.8
1993-11-08,3466.7
1993-11-15,3473.2
1993-11-22,3470.8
1993-11-29,3469.6
1993-12-06,3476.2
1993-12-13,3477.8
1993-12-20,3473.6
1993-12-27,3474.6
1994-01-03,3467.3
1994-01-10,3473.8
1994-01-17,3478.1
1994-01-24,3477.1
1994-01-31,3473.9
1994-02-07,3474.6
1994-02-14,3478.7
1994-02-21,3475.4
1994-02-28,3474.2
1994-03-07,3478.0
1994-03-14,3483.5
1994-03-21,3481.9
1994-03-28,3477.5
1994-04-04,3479.4
1994-04-11,3483.3
1994-04-18,3476.1
1994-04-25,3480.1
1994-05-02,3488.9
1994-05-09,3494.2
1994-05-16,3492.9
1994-05-23,3491.2
1994-05-30,3486.8
1994-06-06,3481.6
1994-06-13,3480.0
1994-06-20,3476.4
1994-06-27,3480.7
1994-07-04,3478.4
1994-07-11,3487.2
1994-07-18,3489.0
1994-07-25,3490.3
1994-08-01,3492.5
1994-08-08,3484.0
1994-08-15,3485.8
1994-08-22,3487.4
1994-08-29,3485.1
1994-09-05,3484.2
1994-09-12,3485.2
1994-09-19,3487.2
1994-09-26,3490.4
1994-10-03,3480.6
1994-10-10,3486.9
1994-10-17,3485.5
1994-10-24,3483.6
1994-10-31,3482.7
1994-11-07,3481.6
1994-11-14,3486.0
1994-11-21,3490.8
1994-11-28,3489.9
1994-12-05,3490.1
1994-12-12,3488.7
1994-12-19,3485.8
1994-12-26,3486.1
1995-01-02,3480.3
1995-01-09,3489.8
1995-01-16,3493.9
1995-01-23,3495.2
1995-01-30,3494.1
1995-02-06,3492.4
1995-02-13,3490.3
1995-02-20,3486.9
1995-02-27,3490.8
1995-03-06,3486.6
1995-03-13,3493.1
1995-03-20,3492.3
1995-03-27,3495.1
1995-04-03,3485.1
1995-04-10,3495.7
1995-04-17,3495.6
1995-04-24,3502.5
1995-05-01,3510.7
1995-05-08,3513.5
1995-05-15,3518.8
1995-05-22,3528.9
1995-05-29,3532.9
1995-06-05,3541.4
1995-06-12,3549.8
1995-06-19,3547.7
1995-06-26,3552.3
1995-07-03,3552.9
1995-07-10,3562.6
1995-07-17,3565.2
1995-07-24,3570.6
1995-07-31,3577.3
1995-08-07,3582.4
1995-08-14,3586.1
1995-08-21,3591.7
1995-08-28,3593.2
1995-09-04,3595.4
1995-09-11,3600.8
1995-09-18,3601.1
1995-09-25,3606.1
1995-10-02,3604.9
1995-10-09,3614.5
1995-10-16,3615.0
1995-10-23,3612.8
1995-10-30,3613.0
1995-11-06,3617.5
1995-11-13,3617.1
1995-11-20,3620.0
1995-11-27,3624.0
1995-12-04,3621.0
1995-12-11,3627.9
1995-12-18,3627.0
1995-12-25,3632.2
1996-01-01,3636.9
1996-01-08,3641.7
1996-01-15,3655.8
1996-01-22,3647.6
1996-01-29,3646.4
1996-02-05,3651.7
1996-02-12,3655.9
1996-02-19,3660.7
1996-02-26,3667.4
1996-03-04,3681.7
1996-03-11,3680.7
1996-03-18,3687.9
1996-03-25,3689.3
1996-04-01,3695.6
1996-04-08,3696.6
1996-04-15,3705.4
1996-04-22,3695.6
1996-04-29,3691.9
1996-05-06,3706.5
1996-05-13,3711.1
1996-05-20,3710.1
1996-05-27,3708.3
1996-06-03,3713.7
1996-06-10,3721.8
1996-06-17,3722.5
1996-06-24,3721.0
1996-07-01,3730.7
1996-07-08,3730.3
1996-07-15,3734.7
1996-07-22,3740.4
1996-07-29,3741.6
1996-08-05,3744.8
1996-08-12,3744.8
1996-08-19,3743.1
1996-08-26,3745.6
1996-09-02,3743.5
1996-09-09,3757.6
1996-09-16,3752.6
1996-09-23,3749.4
1996-09-30,3758.4
1996-10-07,3763.5
1996-10-14,3767.9
1996-10-21,3772.6
1996-10-28,3776.2
1996-11-04,3780.1
1996-11-11,3787.3
1996-11-18,3789.6
1996-11-25,3792.2
1996-12-02,3800.4
1996-12-09,3810.7
1996-12-16,3808.6
1996-12-23,3813.6
1996-12-30,3810.8
1997-01-06,3820.4
1997-01-13,3824.1
1997-01-20,3825.0
1997-01-27,3826.9
1997-02-03,3828.3
1997-02-10,3837.8
1997-02-17,3837.3
1997-02-24,3836.5
1997-03-03,3838.6
1997-03-10,3852.0
1997-03-17,3850.8
1997-03-24,3852.2
1997-03-31,3855.9
1997-04-07,3866.6
1997-04-14,3868.0
1997-04-21,3869.5
1997-04-28,3865.2
1997-05-05,3868.0
1997-05-12,3874.7
1997-05-19,3877.4
1997-05-26,3887.7
1997-06-02,3887.5
1997-06-09,3899.4
1997-06-16,3892.8
1997-06-23,3894.0
1997-06-30,3900.3
1997-07-07,3912.6
1997-07-14,3910.9
1997-07-21,3912.0
1997-07-28,3914.3
1997-08-04,3927.7
1997-08-11,3939.2
1997-08-18,3947.4
1997-08-25,3953.9
1997-09-01,3963.2
1997-09-08,3963.3
1997-09-15,3961.3
1997-09-22,3960.9
1997-09-29,3965.3
1997-10-06,3976.8
1997-10-13,3977.7
1997-10-20,3984.2
1997-10-27,3984.0
1997-11-03,3992.5
1997-11-10,4001.4
1997-11-17,4000.6
1997-11-24,4007.1
1997-12-01,4017.4
1997-12-08,4018.9
1997-12-15,4016.8
1997-12-22,4021.3
1997-12-29,4029.4
1998-01-05,4045.0
1998-01-12,4043.0
1998-01-19,4042.4
1998-01-26,4047.7
1998-02-02,4055.8
1998-02-09,4070.5
1998-02-16,4076.2
1998-02-23,4086.2
1998-03-02,4094.2
1998-03-09,4106.3
1998-03-16,4107.2
1998-03-23,4102.6
1998-03-30,4102.1
1998-04-06,4125.4
1998-04-13,4129.1
1998-04-20,4133.5
1998-04-27,4128.5
1998-05-04,4140.1
1998-05-11,4148.7
1998-05-18,4152.3
1998-05-25,4156.4
1998-06-01,4169.9
1998-06-08,4173.9
1998-06-15,4175.2
1998-06-22,4172.8
1998-06-29,4171.7
1998-07-06,4197.8
1998-07-13,4187.9
1998-07-20,4192.4
1998-07-27,4193.5
1998-08-03,4200.7
1998-08-10,4217.4
1998-08-17,4216.1
1998-08-24,4220.4
1998-08-31,4228.9
1998-09-07,4250.0
1998-09-14,4257.8
1998-09-21,4262.3
1998-09-28,4255.8
1998-10-05,4274.6
1998-10-12,4285.9
1998-10-19,4297.5
1998-10-26,4311.7
1998-11-02,4318.5
1998-11-09,4335.9
1998-11-16,4339.1
1998-11-23,4337.6
1998-11-30,4339.8
1998-12-07,4358.8
1998-12-14,4360.7
1998-12-21,4364.9
1998-12-28,4370.5
1999-01-04,4384.8
1999-01-11,4389.1
1999-01-18,4392.9
1999-01-25,4389.5
1999-02-01,4407.8
1999-02-08,4410.5
1999-02-15,4416.0
1999-02-22,4419.5
1999-03-01,4419.0
1999-03-08,4421.6
1999-03-15,4417.8
1999-03-22,4420.4
1999-03-29,4425.9
1999-04-05,4441.6
1999-04-12,4445.1
1999-04-19,4453.7
1999-04-26,4459.6
1999-05-03,4455.2
1999-05-10,4472.4
1999-05-17,4472.3
1999-05-24,4477.5
1999-05-31,4488.6
1999-06-07,4493.1
1999-06-14,4494.7
1999-06-21,4500.0
1999-06-28,4499.0
1999-07-05,4506.2
1999-07-12,4524.3
1999-07-19,4523.9
1999-07-26,4532.6
1999-08-02,4533.0
1999-08-09,4541.5
1999-08-16,4545.4
1999-08-23,4541.4
1999-08-30,4540.3
1999-09-06,4550.8
1999-09-13,4554.4
1999-09-20,4562.0
1999-09-27,4558.4
1999-10-04,4569.1
1999-10-11,4575.5
1999-10-18,4578.1
1999-10-25,4585.0
1999-11-01,4597.3
1999-11-08,4594.4
1999-11-15,4600.2
1999-11-22,4604.6
1999-11-29,4601.8
1999-12-06,4613.8
1999-12-13,4618.5
1999-12-20,4628.7
1999-12-27,4638.7
2000-01-03,4654.9
2000-01-10,4658.4
2000-01-17,4659.1
2000-01-24,4667.4
2000-01-31,4667.3
2000-02-07,4674.5
2000-02-14,4667.7
2000-02-21,4667.3
2000-02-28,4667.7
2000-03-06,4678.8
2000-03-13,4686.4
2000-03-20,4705.0
2000-03-27,4712.6
2000-04-03,4727.8
2000-04-10,4751.2
2000-04-17,4760.7
2000-04-24,4767.8
2000-05-01,4757.5
2000-05-08,4736.4
2000-05-15,4740.1
2000-05-22,4744.7
2000-05-29,4747.2
2000-06-05,4759.2
2000-06-12,4762.0
2000-06-19,4758.9
2000-06-26,4761.9
2000-07-03,4767.5
2000-07-10,4777.9
2000-07-17,4774.1
2000-07-24,4782.7
2000-07-31,4786.6
2000-08-07,4794.5
2000-08-14,4794.6
2000-08-21,4812.1
2000-08-28,4818.4
2000-09-04,4828.8
2000-09-11,4838.5
2000-09-18,4843.4
2000-09-25,4845.5
2000-10-02,4855.9
2000-10-09,4860.5
2000-10-16,4859.9
2000-10-23,4858.4
2000-10-30,4857.2
2000-11-06,4859.8
2000-11-13,4861.0
2000-11-20,4866.3
2000-11-27,4881.9
2000-12-04,4888.6
2000-12-11,4895.9
2000-12-18,4908.7
2000-12-25,4924.1
2001-01-01,4948.6
2001-01-08,4954.4
2001-01-15,4964.9
2001-01-22,4972.1
2001-01-29,4965.1
2001-02-05,4984.9
2001-02-12,4992.9
2001-02-19,5000.5
2001-02-26,5018.7
2001-03-05,5041.3
2001-03-12,5047.5
2001-03-19,5053.4
2001-03-26,5073.4
2001-04-02,5093.8
2001-04-09,5115.7
2001-04-16,5132.5
2001-04-23,5137.9
2001-04-30,5123.1
2001-05-07,5116.6
2001-05-14,5113.6
2001-05-21,5124.2
2001-05-28,5120.0
2001-06-04,5150.6
2001-06-11,5155.2
2001-06-18,5165.1
2001-06-25,5162.7
2001-07-02,5176.1
2001-07-09,5180.9
2001-07-16,5193.7
2001-07-23,5194.2
2001-07-30,5201.2
2001-08-06,5211.0
2001-08-13,5220.1
2001-08-20,5226.7
2001-08-27,5233.0
2001-09-03,5244.6
2001-09-10,5266.0
2001-09-17,5436.2
2001-09-24,5355.4
2001-10-01,5328.0
2001-10-08,5319.4
2001-10-15,5318.1
2001-10-22,5319.3
2001-10-29,5327.1
2001-11-05,5348.1
2001-11-12,5355.2
2001-11-19,5364.2
2001-11-26,5381.9
2001-12-03,5386.4
2001-12-10,5411.8
2001-12-17,5428.5
2001-12-24,5417.1
2001-12-31,5435.4
2002-01-07,5434.3
2002-01-14,5435.9
2002-01-21,5436.5
2002-01-28,5445.4
2002-02-04,5459.4
2002-02-11,5465.4
2002-02-18,5467.6
2002-02-25,5476.4
2002-03-04,5481.9
2002-03-11,5483.0
2002-03-18,5481.6
2002-03-25,5475.4
2002-04-01,5486.8
2002-04-08,5473.7
2002-04-15,5486.2
2002-04-22,5481.3
2002-04-29,5482.5
2002-05-06,5494.8
2002-05-13,5503.0
2002-05-20,5512.3
2002-05-27,5516.9
2002-06-03,5507.5
2002-06-10,5521.8
2002-06-17,5531.4
2002-06-24,5537.3
2002-07-01,5551.7
2002-07-08,5547.1
2002-07-15,5567.0
2002-07-22,5580.3
2002-07-29,5599.1
2002-08-05,5607.1
2002-08-12,5614.1
2002-08-19,5616.0
2002-08-26,5621.4
2002-09-02,5627.7
2002-09-09,5637.0
2002-09-16,5642.1
2002-09-23,5638.9
2002-09-30,5652.9
2002-10-07,5660.7
2002-10-14,5675.4
2002-10-21,5690.7
2002-10-28,5703.7
2002-11-04,5721.0
2002-11-11,5730.0
2002-11-18,5741.0
2002-11-25,5733.2
2002-12-02,5754.7
2002-12-09,5749.3
2002-12-16,5761.8
2002-12-23,5758.0
2002-12-30,5759.8
2003-01-06,5770.8
2003-01-13,5781.7
2003-01-20,5795.6
2003-01-27,5804.3
2003-02-03,5801.3
2003-02-10,5824.7
2003-02-17,5845.2
2003-02-24,5821.1
